date,indicator_name,value,source
2024-01-01,CPI_All_Items,309.794,FRED
2024-02-01,CPI_All_Items,311.022,FRED
2024-03-01,CPI_All_Items,312.107,FRED
2024-04-01,CPI_All_Items,313.016,FRED
2024-05-01,CPI_All_Items,313.14,FRED
2024-06-01,CPI_All_Items,313.131,FRED
2024-07-01,CPI_All_Items,313.566,FRED
2024-08-01,CPI_All_Items,314.131,FRED
2024-09-01,CPI_All_Items,314.851,FRED
2024-01-01,Unemployment_Rate,3.7,FRED
2024-02-01,Unemployment_Rate,3.9,FRED
2024-03-01,Unemployment_Rate,3.9,FRED
2024-04-01,Unemployment_Rate,3.9,FRED
2024-05-01,Unemployment_Rate,4.0,FRED
2024-06-01,Unemployment_Rate,4.1,FRED
2024-07-01,Unemployment_Rate,4.2,FRED
2024-08-01,Unemployment_Rate,4.2,FRED
2024-09-01,Unemployment_Rate,4.1,FRED
2024-01-01,Federal_Funds_Rate,5.33,FRED
2024-02-01,Federal_Funds_Rate,5.33,FRED
2024-03-01,Federal_Funds_Rate,5.33,FRED
2024-04-01,Federal_Funds_Rate,5.33,FRED
2024-05-01,Federal_Funds_Rate,5.33,FRED
2024-06-01,Federal_Funds_Rate,5.33,FRED
2024-07-01,Federal_Funds_Rate,5.33,FRED
2024-08-01,Federal_Funds_Rate,5.33,FRED
2024-09-01,Federal_Funds_Rate,5.13,FRED
2024-01-01,Consumer_Sentiment,79.0,FRED
2024-02-01,Consumer_Sentiment,76.9,FRED
2024-03-01,Consumer_Sentiment,79.4,FRED
2024-04-01,Consumer_Sentiment,77.2,FRED
2024-05-01,Consumer_Sentiment,69.1,FRED
2024-06-01,Consumer_Sentiment,68.2,FRED
2024-07-01,Consumer_Sentiment,66.4,FRED
2024-08-01,Consumer_Sentiment,67.9,FRED
2024-09-01,Consumer_Sentiment,70.3,FRED
