date,indicator_name,value,source
2024-01-31,Inflation_Rate,3.18,BLS
2024-02-29,Inflation_Rate,3.9,BLS
2024-03-31,Inflation_Rate,3.99,BLS
2024-04-30,Inflation_Rate,3.28,BLS
2024-05-31,Inflation_Rate,3.93,BLS
2024-06-30,Inflation_Rate,3.18,BLS
2024-07-31,Inflation_Rate,3.35,BLS
2024-08-31,Inflation_Rate,3.79,BLS
2024-09-30,Inflation_Rate,3.6,BLS
2024-10-31,Inflation_Rate,2.84,BLS
2024-11-30,Inflation_Rate,3.88,BLS
2024-12-31,Inflation_Rate,3.5,BLS
2024-01-31,Unemployment_Rate,3.61,BLS
2024-02-29,Unemployment_Rate,4.32,BLS
2024-03-31,Unemployment_Rate,4.11,BLS
2024-04-30,Unemployment_Rate,4.42,BLS
2024-05-31,Unemployment_Rate,3.87,BLS
2024-06-30,Unemployment_Rate,3.9,BLS
2024-07-31,Unemployment_Rate,3.78,BLS
2024-08-31,Unemployment_Rate,4.2,BLS
2024-09-30,Unemployment_Rate,4.15,BLS
2024-10-31,Unemployment_Rate,3.81,BLS
2024-11-30,Unemployment_Rate,3.6,BLS
2024-12-31,Unemployment_Rate,4.41,BLS
2024-01-31,Federal_Funds_Rate,4.28,Federal_Reserve
2024-02-29,Federal_Funds_Rate,4.41,Federal_Reserve
2024-03-31,Federal_Funds_Rate,4.65,Federal_Reserve
2024-04-30,Federal_Funds_Rate,4.68,Federal_Reserve
2024-05-31,Federal_Funds_Rate,4.39,Federal_Reserve
2024-06-30,Federal_Funds_Rate,4.61,Federal_Reserve
2024-07-31,Federal_Funds_Rate,4.41,Federal_Reserve
2024-08-31,Federal_Funds_Rate,4.77,Federal_Reserve
2024-09-30,Federal_Funds_Rate,4.43,Federal_Reserve
2024-10-31,Federal_Funds_Rate,4.53,Federal_Reserve
2024-11-30,Federal_Funds_Rate,4.52,Federal_Reserve
2024-12-31,Federal_Funds_Rate,4.96,Federal_Reserve
2024-01-31,Consumer_Confidence,84.9,Conference_Board
2024-02-29,Consumer_Confidence,95.7,Conference_Board
2024-03-31,Consumer_Confidence,93.3,Conference_Board
2024-04-30,Consumer_Confidence,94.2,Conference_Board
2024-05-31,Consumer_Confidence,75.5,Conference_Board
2024-06-30,Consumer_Confidence,97.5,Conference_Board
2024-07-31,Consumer_Confidence,98.9,Conference_Board
2024-08-31,Consumer_Confidence,82.1,Conference_Board
2024-09-30,Consumer_Confidence,94.5,Conference_Board
2024-10-31,Consumer_Confidence,91.2,Conference_Board
2024-11-30,Consumer_Confidence,77.7,Conference_Board
2024-12-31,Consumer_Confidence,94.5,Conference_Board
